Date,Message
2021-10-10T04:00:00.000-00:00,";55,668.81;54,890.973;51,460.522;47,720.956;1.417;8.178;16.655;0.78;1.42;0.795;6.666;7.836"
2021-10-10T08:00:00.000-00:00,";55,144.99;54,937.158;51,592.11;47,794.827;0.378;6.886;15.379;0.693;1.377;0.79;6.484;7.945"
2021-10-10T12:00:00.000-00:00,";55,373.01;55,016.403;51,727.142;47,870.232;0.648;7.048;15.673;0.806;1.374;0.796;6.359;8.057"
2021-10-10T16:00:00.000-00:00,";55,450.25;55,095.285;51,860.111;47,945.655;0.644;6.923;15.652;0.825;1.357;0.797;6.238;8.164"
2021-10-10T20:00:00.000-00:00,";54,659;55,015.96;51,960.071;48,012.454;-0.649;5.194;13.843;0.544;1.277;0.78;5.881;8.222"
2021-10-11T00:00:00.000-00:00,";56,507.09;55,287.075;52,122.464;48,096.978;2.207;8.412;17.486;0.722;1.286;0.788;6.071;8.37"
2021-10-11T04:00:00.000-00:00,";56,789.76;55,560.29;52,289.154;48,183.473;2.213;8.607;17.861;1.134;1.351;0.813;6.256;8.521"
2021-10-11T08:00:00.000-00:00,";56,407.51;55,714.33;52,436.238;48,265.304;1.244;7.574;16.87;1.269;1.371;0.825;6.252;8.642"
2021-10-11T12:00:00.000-00:00,";57,490.18;56,037.212;52,616.736;48,357.094;2.593;9.262;18.887;1.71;1.459;0.858;6.501;8.809"
2021-10-11T16:00:00.000-00:00,";57,488.33;56,301.052;52,790.721;48,447.952;2.109;8.899;18.66;2.336;1.599;0.907;6.65;8.964"
2021-10-11T20:00:00.000-00:00,";57,471.35;56,513.833;52,957.886;48,537.737;1.694;8.523;18.405;2.219;1.603;0.916;6.715;9.107"
2021-10-12T00:00:00.000-00:00,";56,711.35;56,549.745;53,091.939;48,619.067;0.286;6.817;16.644;1.781;1.535;0.904;6.513;9.2"
2021-10-12T04:00:00.000-00:00,";57,342.79;56,693.935;53,243.755;48,705.87;1.144;7.699;17.733;1.758;1.54;0.913;6.48;9.317"
